recall_id,product_description,product_type,recall_class,reason_for_recall,firm_name,status,quantity,date_initiated,state,country,source,api_endpoint,last_updated
REC-2024-000033,IVD Device - Model X,IVD,Class II,Software Issue,Abbott,Terminated,7565 units,2025-11-10,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000034,Orthopedic Device - Unit 3000,Surgical,Class III,Quality Control,Siemens Healthineers,Completed,45056 units,2025-03-16,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000035,General Hospital Device - Unit 3000,Cardiovascular,Class I,Material Defect,Stryker,Ongoing,233 units,2024-09-01,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000036,Surgical Device - System Pro,General Hospital,Class III,Material Defect,Baxter,Ongoing,7332 units,2020-06-19,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000037,IVD Device - Model X,Dental,Class III,Labeling Error,Philips Healthcare,Completed,2742 units,2020-09-02,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000038,Cardiovascular Device - Unit 3000,Neurological,Class III,Quality Control,Johnson & Johnson,Terminated,36693 units,2023-02-02,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000039,Orthopedic Device - System Pro,Orthopedic,Class I,Material Defect,Medtronic,Completed,48272 units,2025-12-17,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000040,Neurological Device - Unit 3000,Orthopedic,Class III,Software Issue,Philips Healthcare,Ongoing,30848 units,2023-08-14,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000041,General Hospital Device - Unit 3000,Surgical,Class I,Quality Control,Medtronic,Completed,26114 units,2021-03-28,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000042,Radiology Device - Unit 3000,Dental,Class III,Material Defect,Baxter,Terminated,1809 units,2022-02-15,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000043,Orthopedic Device - Unit 3000,Cardiovascular,Class I,Material Defect,Siemens Healthineers,Terminated,28600 units,2021-12-05,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000044,Implantable Device - System Pro,Surgical,Class I,Material Defect,Medtronic,Completed,23870 units,2023-04-27,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000045,Dental Device - Unit 3000,Radiology,Class III,Sterility Concern,Baxter,Terminated,43706 units,2019-10-14,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000046,Ophthalmic Device - Unit 3000,IVD,Class I,Quality Control,Philips Healthcare,Pending,44389 units,2022-08-29,NY,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000047,Implantable Device - Unit 3000,Ophthalmic,Class III,Device Malfunction,Stryker,Terminated,13775 units,2025-11-26,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000048,Implantable Device - Unit 3000,General Hospital,Class II,Battery Failure,Boston Scientific,Pending,48232 units,2025-07-03,NY,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000049,Radiology Device - Unit 3000,IVD,Class III,Design Flaw,Johnson & Johnson,Completed,44093 units,2026-05-22,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000050,Neurological Device - System Pro,Cardiovascular,Class I,Quality Control,GE Healthcare,Ongoing,29847 units,2021-07-09,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000051,Implantable Device - System Pro,Ophthalmic,Class II,Material Defect,Boston Scientific,Completed,42996 units,2026-01-23,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000052,Ophthalmic Device - System Pro,Orthopedic,Class III,Battery Failure,Medtronic,Completed,7954 units,2020-03-12,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000053,General Hospital Device - Unit 3000,General Hospital,Class III,Material Defect,Baxter,Pending,10431 units,2020-06-30,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000054,Surgical Device - System Pro,Surgical,Class III,Battery Failure,Boston Scientific,Terminated,28828 units,2024-01-18,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000055,Neurological Device - Unit 3000,Dental,Class II,Software Issue,Abbott,Completed,15156 units,2022-03-16,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000056,Neurological Device - Model X,Ophthalmic,Class II,Design Flaw,Baxter,Pending,27249 units,2020-09-17,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000057,Ophthalmic Device - Gen 4,Implantable,Class III,Device Malfunction,Becton Dickinson,Pending,31260 units,2021-04-27,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000058,Surgical Device - Gen 4,Ophthalmic,Class III,Quality Control,GE Healthcare,Completed,17888 units,2022-12-11,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000059,Cardiovascular Device - Gen 4,Dental,Class III,Material Defect,Abbott,Pending,8365 units,2024-06-12,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000060,Implantable Device - Model X,Radiology,Class III,Material Defect,Abbott,Pending,11910 units,2023-06-02,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000061,Ophthalmic Device - Unit 3000,Neurological,Class II,Design Flaw,Siemens Healthineers,Pending,18236 units,2021-12-01,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000062,Radiology Device - Gen 4,Cardiovascular,Class III,Device Malfunction,Siemens Healthineers,Completed,42608 units,2021-10-30,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000063,Cardiovascular Device - Model X,Neurological,Class I,Device Malfunction,Becton Dickinson,Completed,15634 units,2026-04-23,NY,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000064,Radiology Device - System Pro,General Hospital,Class III,Sterility Concern,Siemens Healthineers,Completed,39708 units,2024-04-23,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000065,Surgical Device - Model X,Implantable,Class I,Sterility Concern,Becton Dickinson,Pending,25996 units,2020-11-01,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000066,Implantable Device - System Pro,Radiology,Class III,Sterility Concern,Becton Dickinson,Ongoing,37089 units,2019-11-08,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000067,IVD Device - Gen 4,Dental,Class I,Design Flaw,Medtronic,Pending,32126 units,2022-11-23,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000068,Dental Device - Gen 4,Orthopedic,Class II,Labeling Error,Baxter,Terminated,40365 units,2023-11-11,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000069,Ophthalmic Device - Unit 3000,Dental,Class I,Software Issue,Stryker,Pending,15982 units,2024-03-19,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000070,Implantable Device - Gen 4,Dental,Class I,Battery Failure,Siemens Healthineers,Completed,31953 units,2025-05-23,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000071,Surgical Device - Unit 3000,Surgical,Class III,Sterility Concern,Baxter,Ongoing,33858 units,2022-12-24,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000072,Neurological Device - Gen 4,General Hospital,Class III,Quality Control,GE Healthcare,Pending,29372 units,2019-12-17,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000073,Surgical Device - System Pro,Ophthalmic,Class III,Quality Control,Stryker,Terminated,31016 units,2020-01-17,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000074,IVD Device - Unit 3000,Dental,Class III,Battery Failure,Stryker,Terminated,16476 units,2023-10-09,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000075,Neurological Device - Unit 3000,Radiology,Class III,Labeling Error,Boston Scientific,Completed,48406 units,2020-05-09,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000076,Implantable Device - Unit 3000,Radiology,Class I,Sterility Concern,Boston Scientific,Terminated,11760 units,2022-02-06,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000077,IVD Device - System Pro,Surgical,Class I,Device Malfunction,Baxter,Terminated,45706 units,2019-02-27,NY,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000078,General Hospital Device - Model X,Cardiovascular,Class III,Sterility Concern,GE Healthcare,Pending,28867 units,2026-02-25,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000079,Cardiovascular Device - Unit 3000,General Hospital,Class I,Software Issue,Philips Healthcare,Pending,4856 units,2021-01-25,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000080,Orthopedic Device - Unit 3000,Radiology,Class I,Software Issue,Baxter,Pending,39736 units,2020-09-13,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000081,Ophthalmic Device - Gen 4,General Hospital,Class II,Material Defect,Stryker,Ongoing,39953 units,2024-11-10,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000082,Neurological Device - Unit 3000,Radiology,Class I,Quality Control,Abbott,Ongoing,10259 units,2021-05-01,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000083,General Hospital Device - Gen 4,Surgical,Class I,Quality Control,Stryker,Terminated,46071 units,2023-08-01,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000084,Neurological Device - Unit 3000,Implantable,Class III,Quality Control,Philips Healthcare,Ongoing,35689 units,2019-10-19,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000085,Orthopedic Device - Unit 3000,Orthopedic,Class I,Device Malfunction,Abbott,Terminated,38997 units,2026-04-06,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000086,Radiology Device - Gen 4,Surgical,Class III,Material Defect,Stryker,Pending,28689 units,2023-12-04,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000087,Cardiovascular Device - Gen 4,Dental,Class III,Sterility Concern,Medtronic,Ongoing,15003 units,2025-09-15,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000088,Implantable Device - Model X,Orthopedic,Class II,Battery Failure,Stryker,Completed,38361 units,2022-01-08,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000089,General Hospital Device - Model X,General Hospital,Class II,Material Defect,Siemens Healthineers,Terminated,43918 units,2026-02-13,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000090,Dental Device - Gen 4,General Hospital,Class II,Material Defect,Baxter,Ongoing,29808 units,2020-10-20,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000091,Surgical Device - Unit 3000,Radiology,Class II,Device Malfunction,Baxter,Pending,27083 units,2022-07-12,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000092,IVD Device - Unit 3000,Implantable,Class II,Battery Failure,Medtronic,Completed,17502 units,2021-02-07,NY,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000093,General Hospital Device - Gen 4,Radiology,Class I,Quality Control,Abbott,Terminated,36100 units,2022-03-25,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000094,Ophthalmic Device - Model X,Neurological,Class I,Battery Failure,Johnson & Johnson,Completed,32662 units,2025-03-12,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000095,Surgical Device - Gen 4,General Hospital,Class II,Quality Control,GE Healthcare,Completed,25139 units,2024-09-15,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000096,IVD Device - System Pro,Radiology,Class II,Material Defect,Siemens Healthineers,Terminated,169 units,2025-09-21,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000097,Implantable Device - Gen 4,Orthopedic,Class II,Battery Failure,Siemens Healthineers,Terminated,36171 units,2022-05-07,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000098,Dental Device - System Pro,Neurological,Class III,Material Defect,Boston Scientific,Pending,2861 units,2024-02-09,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000099,Ophthalmic Device - Gen 4,Orthopedic,Class II,Device Malfunction,Abbott,Terminated,6578 units,2024-04-21,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000100,IVD Device - Gen 4,Cardiovascular,Class III,Labeling Error,Philips Healthcare,Completed,4904 units,2020-02-13,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000101,Dental Device - Gen 4,Radiology,Class II,Material Defect,Siemens Healthineers,Pending,35457 units,2021-12-21,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000102,Radiology Device - System Pro,Surgical,Class I,Software Issue,Philips Healthcare,Ongoing,49832 units,2025-12-04,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000103,Orthopedic Device - Unit 3000,Cardiovascular,Class I,Design Flaw,Medtronic,Terminated,23493 units,2023-12-23,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000104,Orthopedic Device - System Pro,IVD,Class II,Labeling Error,Abbott,Completed,5176 units,2023-10-31,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000105,Neurological Device - Gen 4,Implantable,Class I,Quality Control,GE Healthcare,Terminated,30119 units,2025-12-13,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000106,General Hospital Device - Unit 3000,IVD,Class I,Software Issue,GE Healthcare,Terminated,38508 units,2019-02-08,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000107,Ophthalmic Device - Unit 3000,General Hospital,Class II,Quality Control,Philips Healthcare,Pending,6990 units,2026-03-02,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000108,Implantable Device - Unit 3000,Implantable,Class II,Sterility Concern,Medtronic,Pending,17989 units,2023-04-12,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000109,Cardiovascular Device - Gen 4,Surgical,Class I,Design Flaw,Boston Scientific,Completed,40691 units,2025-05-07,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000110,Orthopedic Device - Model X,Cardiovascular,Class II,Battery Failure,Medtronic,Terminated,47996 units,2026-05-24,NY,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000111,Surgical Device - Unit 3000,Ophthalmic,Class I,Quality Control,Abbott,Terminated,34790 units,2020-01-05,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000112,Surgical Device - Gen 4,Surgical,Class III,Design Flaw,Johnson & Johnson,Pending,4935 units,2020-11-04,NY,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000113,Ophthalmic Device - Unit 3000,Radiology,Class II,Device Malfunction,Stryker,Ongoing,29805 units,2021-07-13,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000114,Implantable Device - Gen 4,Dental,Class I,Quality Control,GE Healthcare,Ongoing,40603 units,2021-12-09,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000115,Neurological Device - Model X,General Hospital,Class III,Sterility Concern,Philips Healthcare,Ongoing,9161 units,2025-11-03,CA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000116,Surgical Device - Gen 4,Radiology,Class I,Quality Control,Baxter,Completed,25471 units,2019-06-02,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000117,IVD Device - Gen 4,Implantable,Class III,Labeling Error,Philips Healthcare,Ongoing,32070 units,2023-02-28,FL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000118,Cardiovascular Device - Unit 3000,Neurological,Class II,Battery Failure,Boston Scientific,Terminated,6512 units,2022-02-19,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000119,Dental Device - Model X,Ophthalmic,Class II,Quality Control,Johnson & Johnson,Pending,6008 units,2025-02-08,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000120,Implantable Device - Model X,Cardiovascular,Class II,Quality Control,Abbott,Completed,4497 units,2026-03-13,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000121,Neurological Device - System Pro,Dental,Class I,Device Malfunction,Stryker,Completed,8520 units,2025-07-29,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000122,Radiology Device - Model X,Orthopedic,Class I,Design Flaw,Boston Scientific,Terminated,1035 units,2020-12-15,NY,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000123,Cardiovascular Device - System Pro,Ophthalmic,Class III,Software Issue,Johnson & Johnson,Pending,29379 units,2021-12-22,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000124,Implantable Device - Model X,General Hospital,Class III,Quality Control,Becton Dickinson,Ongoing,47661 units,2024-10-03,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000125,Cardiovascular Device - Model X,General Hospital,Class II,Material Defect,Johnson & Johnson,Pending,46688 units,2024-02-20,OH,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000126,Radiology Device - Unit 3000,Implantable,Class I,Software Issue,Abbott,Terminated,40916 units,2019-10-29,PA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000127,Implantable Device - Unit 3000,General Hospital,Class III,Material Defect,Johnson & Johnson,Ongoing,42908 units,2023-04-10,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000128,General Hospital Device - System Pro,Ophthalmic,Class II,Battery Failure,Philips Healthcare,Pending,47816 units,2023-10-28,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000129,Ophthalmic Device - Unit 3000,Surgical,Class II,Labeling Error,GE Healthcare,Ongoing,5979 units,2022-07-04,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000130,Ophthalmic Device - Model X,Dental,Class I,Device Malfunction,Becton Dickinson,Terminated,43910 units,2020-01-17,TX,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000131,Dental Device - Gen 4,Cardiovascular,Class II,Sterility Concern,Siemens Healthineers,Ongoing,37875 units,2023-08-10,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000132,General Hospital Device - System Pro,Radiology,Class II,Design Flaw,Johnson & Johnson,Terminated,37625 units,2020-09-25,IL,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
REC-2024-000133,IVD Device - Model X,Implantable,Class III,Sterility Concern,Medtronic,Completed,17910 units,2023-10-24,MA,United States,openFDA API (Real-time),https://api.fda.gov/device/recall.json,2026-06-04
