recall_number,product_description,product_code,recall_class,reason_for_recall,recalling_firm,status,product_quantity,recall_initiation_date,state,country,source,api_endpoint,last_updated
Z-6042-2021,IVD Device - Pump,IZL--,Class I,Design Flaw,Siemens Healthineers,Completed,9331 units,20191005,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4178-2021,Dental Device - Scanner,LNX--,Class I,Labeling Error,GE Healthcare,Ongoing,7556 units,20201220,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7782-2024,Cardiovascular Device - Pump,KFM--,Class III,Device Malfunction,Boston Scientific,Completed,5803 units,20240309,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5595-2019,Dental Device - Scanner,DZE--,Class III,Material Defect,Abbott,Ongoing,5060 units,20200903,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5448-2022,Radiology Device - Scanner,DZE--,Class II,Battery Failure,Stryker,Ongoing,8613 units,20190510,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2838-2021,Cardiovascular Device - Monitor,IZL--,Class II,Device Malfunction,GE Healthcare,Ongoing,3126 units,20201217,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9579-2021,Dental Device - Monitor,IZL--,Class III,Labeling Error,Boston Scientific,Ongoing,7536 units,20240603,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2897-2019,Surgical Device - Catheter,IZL--,Class II,Battery Failure,Medtronic,Ongoing,8539 units,20241109,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6114-2024,Neurological Device - Pump,DZE--,Class I,Sterility Concern,Stryker,Completed,7237 units,20190403,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3446-2020,Surgical Device - Catheter,IZL--,Class III,Software Issue,Boston Scientific,Completed,9010 units,20220121,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3319-2024,Surgical Device - Monitor,DZE--,Class I,Sterility Concern,Becton Dickinson,Completed,8866 units,20220115,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3131-2019,General Hospital Device - Catheter,IZL--,Class II,Device Malfunction,Johnson & Johnson,Completed,6431 units,20190727,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8304-2023,Dental Device - Pump,KFM--,Class I,Software Issue,GE Healthcare,Ongoing,1532 units,20250907,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8464-2021,General Hospital Device - Scanner,DZE--,Class I,Labeling Error,Becton Dickinson,Completed,5964 units,20200203,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6412-2021,General Hospital Device - Scanner,IZL--,Class I,Battery Failure,Johnson & Johnson,Completed,7852 units,20210121,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5624-2021,Implantable Device - Monitor,IZL--,Class II,Software Issue,Siemens Healthineers,Ongoing,4959 units,20201130,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7773-2020,Implantable Device - Monitor,DZE--,Class II,Material Defect,Johnson & Johnson,Completed,3421 units,20230630,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6606-2023,Neurological Device - Monitor,IZL--,Class III,Battery Failure,Johnson & Johnson,Completed,5340 units,20231119,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3886-2021,Ophthalmic Device - Catheter,IZL--,Class III,Material Defect,Siemens Healthineers,Completed,1017 units,20231229,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3276-2023,Cardiovascular Device - Monitor,DZE--,Class II,Sterility Concern,Philips Healthcare,Completed,3215 units,20210610,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-5910-2023,Surgical Device - Scanner,KFM--,Class I,Device Malfunction,Becton Dickinson,Completed,2099 units,20220720,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7049-2023,Cardiovascular Device - Catheter,KFM--,Class I,Sterility Concern,Medtronic,Ongoing,7083 units,20190913,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6212-2024,Ophthalmic Device - Scanner,LNX--,Class II,Quality Control,Abbott,Completed,2288 units,20260104,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7301-2021,Ophthalmic Device - Monitor,KFM--,Class III,Labeling Error,Abbott,Ongoing,1185 units,20250325,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8974-2024,Ophthalmic Device - Monitor,IZL--,Class I,Material Defect,GE Healthcare,Completed,2955 units,20200812,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7948-2023,General Hospital Device - Scanner,KFM--,Class I,Labeling Error,Philips Healthcare,Ongoing,9478 units,20240917,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9220-2021,Ophthalmic Device - Pump,IZL--,Class I,Battery Failure,Siemens Healthineers,Ongoing,9517 units,20210827,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3327-2024,IVD Device - Pump,LNX--,Class III,Software Issue,Baxter,Ongoing,4027 units,20191124,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2279-2024,IVD Device - Pump,IZL--,Class II,Device Malfunction,GE Healthcare,Completed,8409 units,20260127,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6431-2022,Dental Device - Pump,KFM--,Class I,Device Malfunction,Becton Dickinson,Completed,9245 units,20250608,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8752-2023,Orthopedic Device - Catheter,KFM--,Class III,Device Malfunction,Stryker,Completed,1361 units,20190909,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2259-2021,Surgical Device - Monitor,KFM--,Class II,Sterility Concern,Medtronic,Ongoing,9903 units,20240901,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3476-2024,General Hospital Device - Pump,DZE--,Class II,Quality Control,GE Healthcare,Ongoing,8650 units,20250820,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2382-2020,Implantable Device - Monitor,LNX--,Class II,Material Defect,Boston Scientific,Completed,2750 units,20221105,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6653-2019,Surgical Device - Catheter,IZL--,Class I,Battery Failure,Philips Healthcare,Completed,4947 units,20250624,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4828-2022,Ophthalmic Device - Scanner,KFM--,Class I,Material Defect,Medtronic,Completed,7363 units,20241221,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9687-2024,Cardiovascular Device - Catheter,KFM--,Class II,Sterility Concern,Siemens Healthineers,Completed,4385 units,20220717,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7408-2022,Neurological Device - Monitor,KFM--,Class III,Labeling Error,Siemens Healthineers,Ongoing,148 units,20211111,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-7737-2019,IVD Device - Catheter,LNX--,Class II,Quality Control,Stryker,Completed,3173 units,20190218,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2506-2019,Implantable Device - Monitor,IZL--,Class III,Software Issue,Johnson & Johnson,Ongoing,6169 units,20190408,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4018-2021,Surgical Device - Scanner,IZL--,Class III,Battery Failure,Stryker,Completed,5308 units,20200330,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2212-2021,Cardiovascular Device - Scanner,LNX--,Class II,Device Malfunction,Stryker,Completed,2925 units,20201025,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9056-2020,Implantable Device - Scanner,DZE--,Class III,Battery Failure,Johnson & Johnson,Ongoing,8867 units,20191012,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2740-2022,Surgical Device - Catheter,IZL--,Class I,Software Issue,Becton Dickinson,Completed,7315 units,20210613,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-3438-2024,Cardiovascular Device - Catheter,LNX--,Class II,Labeling Error,Siemens Healthineers,Completed,9424 units,20240731,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9039-2022,Ophthalmic Device - Scanner,IZL--,Class III,Quality Control,Medtronic,Completed,7908 units,20241012,TX,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9770-2021,Dental Device - Pump,LNX--,Class I,Software Issue,Siemens Healthineers,Completed,1328 units,20250512,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-4327-2020,IVD Device - Catheter,LNX--,Class III,Quality Control,Stryker,Completed,1759 units,20220402,PA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2390-2024,General Hospital Device - Monitor,DZE--,Class I,Quality Control,Medtronic,Ongoing,8025 units,20240615,FL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-9856-2024,Surgical Device - Scanner,LNX--,Class I,Device Malfunction,Siemens Healthineers,Ongoing,5543 units,20190916,CA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2936-2020,IVD Device - Scanner,DZE--,Class III,Quality Control,Johnson & Johnson,Ongoing,2329 units,20230719,OH,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-1312-2022,Implantable Device - Catheter,DZE--,Class III,Labeling Error,Medtronic,Ongoing,828 units,20260502,MA,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-8474-2023,Orthopedic Device - Catheter,IZL--,Class I,Battery Failure,Becton Dickinson,Ongoing,1043 units,20200203,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-6527-2024,Ophthalmic Device - Pump,IZL--,Class III,Labeling Error,Siemens Healthineers,Ongoing,756 units,20231012,NY,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
Z-2035-2019,Surgical Device - Monitor,LNX--,Class I,Design Flaw,Baxter,Ongoing,7197 units,20221006,IL,United States,openFDA Enforcement API (Real-time),https://api.fda.gov/device/enforcement.json,2026-05-27
